NAME_1,NAME_2,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Population_2024,PSGC_Match_Info,Distance_from_Metro Manila_km,No_Work_Count
Batanes,Itbayat,6893,3166,93,5,1,2937,Itbayat,685.374156776776,0
Batanes,Basco,99101,13362,45,31,10,9647,Basco ,657.7410467821286,0
Batanes,Mahatao,64545,19118,36,7,4,1745,Mahatao,655.3025205924768,0
Batanes,Ivana,134235,36216,29,1,1,1368,Ivana,651.080093523566,0
Batanes,Uyugan,23199,16505,67,1,1,1466,Uyugan,650.9558613891758,0
Batanes,Sabtang,105011,32463,33,3,2,1774,Sabtang,643.2712186370471,0
Cagayan,Calayan,36054,8961,44,41,1,18008,Calayan,531.5354433804231,0
IlocosNorte,Burgos,102014,50986,12,1,1,10962,Burgos,435.6359539690634,0
IlocosNorte,Pasuquin,239940,251592,9,13,2,30521,Pasuquin,433.3985106933597,0
IlocosNorte,Bangui,48714,50605,13,1,1,15227,Bangui,437.20079713768456,0
IlocosNorte,Pagudpud,36648,5961,37,1,1,25565,Pagudpud,447.5900380404418,1
IlocosNorte,Dumalneg,150742,193011,11,18,9,3452,Dumalneg,435.9007165336408,0
IlocosNorte,Vintar,20230,20974,44,2,1,35051,Vintar,418.2848607988908,0
IlocosNorte,Adams,46271,20025,63,3,2,2279,Adams,428.5457232234428,0
IlocosNorte,Bacarra,37333,40674,8,2,2,32734,Bacarra,411.8936806708698,0
IlocosNorte,LaoagCity,81302,88306,11,5,4,112117,City of Laoag ,408.7120432343296,0
IlocosNorte,SanNicolas,81259,90745,15,9,6,39116,San Nicolas,399.7937331109161,0
IlocosNorte,Paoay,233258,287288,11,4,3,24204,Paoay,389.6811182511111,0
IlocosNorte,PaoayLake,62860,23985,28,1,1,0,,394.7703526985448,0
IlocosNorte,BatacCity,91617,114925,5,13,4,56781,City of Batac,393.3130054561459,0
IlocosNorte,Currimao,149245,28370,31,1,1,12256,Currimao,386.81005815374806,0
IlocosNorte,Pinili,94947,113186,19,1,1,17705,Pinili,378.6643369666592,0
IlocosNorte,Sarrat,51729,52001,9,1,1,26294,Sarrat,396.9637150786633,0
IlocosNorte,Piddig,161979,266667,12,1,1,22781,Piddig,401.8611622607585,0
IlocosNorte,Dingras,148608,165967,11,6,4,40176,Dingras,395.1227568342165,0
IlocosNorte,Carasi,2580,1893,45,1,1,1775,Carasi,395.483888312075,0
IlocosNorte,Marcos,7133,5265,56,5,2,18105,Marcos,387.24833589176416,0
IlocosNorte,Solsona,61054,52687,15,1,1,26249,Solsona,393.0902019100751,0
IlocosNorte,Banna,151096,82444,10,1,1,19363,Banna,380.161825325099,1
IlocosNorte,Badoc,36061,24663,8,1,1,32832,Badoc,378.9509161019535,0
IlocosSur,Sinait,222136,206907,9,3,3,26059,Sinait,371.39137685356513,0
IlocosNorte,NuevaEra,77723,19864,29,5,1,13305,Nueva Era,369.39698874716856,0
IlocosSur,Cabugao,96907,94788,10,4,4,38981,Cabugao,361.8520440736869,0
IlocosSur,Magsingal,13208,3869,21,1,1,31970,Magsingal,350.25686417689525,0
IlocosSur,SantoDomingo,75726,86781,12,4,3,29372,Santo Domingo,345.0107917777246,0
IlocosSur,SanJuan,147116,138538,10,3,3,134312,City of San Juan,357.4795995500652,0
Abra,Lagayan,100542,13540,69,1,1,5154,Lagayan,349.2521164680895,0
Abra,Danglas,190056,222218,10,2,1,4372,Danglas,348.0618893867852,0
Abra,LaPaz,357085,342653,6,1,1,16014,La Paz,343.9491225441388,0
Abra,SanJuan,73870,86672,7,1,1,134312,City of San Juan,347.5148663303251,0
Abra,Dolores,15236,1232,26,1,1,11967,Dolores,340.2867234660022,0
Abra,Tineg,54308,26983,32,6,3,5059,Tineg,346.5841808461841,0
Abra,Lagangilang,19985,9417,31,9,3,14577,Lagangilang,340.39539552297646,0
IlocosSur,SanVicente,79974,3710,27,1,1,13074,San Vicente,343.9921037582386,0
IlocosSur,SantaCatalina,55012,133596,16,7,2,14319,Santa Catalina,341.26803459541674,0
IlocosSur,SanIldefonso,165086,69108,17,3,3,8213,San Ildefonso,342.9455332631694,0
IlocosSur,Bantay,134107,171915,8,6,3,37088,Bantay,340.54737806659944,1
IlocosSur,ViganCity,135496,140847,7,15,8,54498,City of Vigan ,337.0383974746555,0
IlocosSur,Caoayan,56337,95005,4,1,1,19715,Caoayan,334.3164985848371,0
IlocosSur,Santa,11122,12177,7,2,1,15164,Santa,328.6697563127062,0
Abra,Bangued,29244,69713,7,13,2,48331,Bangued ,337.6227305666888,1
Abra,Langiden,29244,69713,7,13,2,3457,Langiden,337.6227305666888,0
Abra,Pidigan,144876,285552,10,1,1,12058,Pidigan,333.44360474543765,0
IlocosSur,Narvacan,74151,74966,30,6,5,46265,Narvacan,324.8332818014706,0
Abra,SanQuintin,74151,74966,30,6,5,5963,San Quintin,324.8332818014706,0
IlocosSur,Nagbukel,69290,68190,9,8,3,5370,Nagbukel,323.4802868861013,0
IlocosSur,SantaMaria,100011,100896,27,14,5,30076,Santa Maria,315.5273975367958,0
Abra,Pilar,11449,9268,31,1,1,10498,Pilar,315.063139027713,0
IlocosSur,Burgos,49601,28630,23,2,2,10962,Burgos,310.507519577253,0
IlocosSur,SanEsteban,59528,20931,22,8,3,8621,San Esteban,309.9364136783861,0
IlocosSur,Santiago,99387,50349,6,1,1,150313,City of Santiago,307.654399346453,1
Abra,Tayum,95067,19718,54,1,1,14808,Tayum,336.920544019128,0
Abra,Peñarrubia,202754,234809,10,1,1,7003,Peñarrubia,332.0813937486088,0
Abra,Bucay,182129,237757,6,4,2,17775,Bucay,330.13875983225995,0
Abra,SanIsidro,29019,26817,29,1,1,4771,San Isidro,323.63775317105467,0
Abra,Sallapadan,2949,259,40,2,1,6328,Sallapadan,322.1030015093024,0
Abra,Licuan-Baay,61495,849,30,1,1,4301,Licuan-Baay,328.7439276458457,0
Abra,Villaviciosa,81828,15409,30,6,1,5674,Villaviciosa,317.8627970546491,0
Abra,Manabo,3561,2142,36,7,1,11087,Manabo,313.2230380555912,0
Abra,Luba,21025,10692,33,13,2,6402,Luba,308.2354038058771,0
Abra,Bucloc,32261,6913,34,1,1,2264,Bucloc,315.37953528642834,0
Abra,Boliney,1827,943,53,1,1,3778,Boliney,312.7649007672969,0
Abra,Daguioman,12143,14318,42,2,2,1773,Daguioman,316.9684450945652,0
IlocosSur,CandonCity,141127,126814,9,3,2,61315,City of Candon,297.33261123109946,0
IlocosSur,Banayoyo,80726,77043,6,2,1,7953,Banayoyo,298.3744597131636,1
IlocosSur,Lidlidda,71944,72145,14,1,1,4846,Lidlidda,302.67920661401683,0
IlocosSur,SanEmilio,11245,14205,14,2,1,7513,San Emilio,301.6111351526567,0
IlocosSur,Galimuyod,169255,178231,14,3,3,10263,Galimuyod,293.2335737871738,0
IlocosSur,SantaLucia,196352,189704,9,3,3,26200,Santa Lucia,289.9871528411122,0
IlocosSur,Salcedo,193963,158751,9,3,3,11196,Salcedo,288.3267188597782,0
IlocosSur,SantaCruz,185584,126300,9,7,3,41296,Santa Cruz,284.1654603437463,0
IlocosSur,Tagudin,43414,37485,7,7,4,41606,Tagudin,271.2524003553877,0
IlocosSur,Sigay,56841,15540,34,33,1,2577,Sigay,272.08440356191136,0
IlocosSur,Suyo,51607,25582,15,3,2,11051,Suyo,269.870164610477,0
Abra,Tubo,17609,8869,35,6,1,4941,Tubo,300.9156606089708,0
IlocosSur,GregorioDelPilar,5328,16285,68,3,1,4385,Gregorio del Pilar,286.07407223532545,0
IlocosSur,Quirino,84938,15808,26,9,2,9460,Quirino,287.18756459844866,0
IlocosSur,Cervantes,18946,20038,32,24,5,20065,Cervantes,274.96027953776326,0
MountainProvince,Besao,21496,17443,51,5,2,6315,Besao,279.9194965584545,0
MountainProvince,Sagada,18617,33545,11,9,2,10702,Sagada,280.98769326924,0
MountainProvince,Bontoc,3150,3314,31,1,1,23466,Bontoc ,279.6249367125312,2
MountainProvince,Tadian,8060,7790,39,18,2,18073,Tadian,270.95036313366825,0
MountainProvince,Bauko,12470,12749,10,1,1,31470,Bauko,264.9510021600456,0
MountainProvince,Sabangan,51759,18060,29,2,2,8556,Sabangan,267.9537787319903,0
LaUnion,Bangar,91052,94560,3,1,1,38190,Bangar,262.8731134007709,0
LaUnion,Luna,43687,37736,7,6,2,21630,Luna,259.20161747587014,0
LaUnion,Balaoan,151390,188855,5,7,5,40440,Balaoan,255.3841763169028,0
LaUnion,Sudipen,78397,88438,6,3,3,16888,Sudipen,262.1552603264851,0
LaUnion,Santol,49222,54828,3,3,2,14877,Santol,252.5052459911761,0
IlocosSur,Alilem,27588,26819,7,2,1,7736,Alilem,258.76504473741574,0
IlocosSur,Sugpon,134455,25886,34,2,1,4238,Sugpon,254.4425104627059,0
LaUnion,Bacnotan,216885,171218,6,7,5,45203,Bacnotan,252.58882635200183,0
LaUnion,SanJuan,77158,69552,8,111,82,134312,City of San Juan,240.13074301058023,0
LaUnion,SanFernandoCity,415775,290151,4,2,1,124809,City of San Fernando ,239.3931880267711,0
LaUnion,SanGabriel,38330,44178,2,20,3,18579,San Gabriel,239.7609200281132,0
LaUnion,Bagulin,3270,1449,5,1,1,14434,Bagulin,235.37112247082968,0
Benguet,Mankayan,19329,15876,41,59,1,38647,Mankayan,258.2317015856945,0
Benguet,Bakun,31067,13967,30,12,1,15399,Bakun,246.46305019040196,0
Benguet,Buguias,153143,172216,8,3,2,45703,Buguias,248.09454356965816,0
