Equivalent,Index
0101   ABRA - Bangued (Capital),101
0102   ABRA - Boliney,102
0103   ABRA - Bucay,103
0104   ABRA - Bucloc,104
0105   ABRA - Daguioman,105
0106   ABRA - Danglas,106
0107   ABRA - Dolores,107
0108   ABRA - La Paz,108
0109   ABRA - Lacub,109
0110   ABRA - Lagangilang,110
0111   ABRA - Lagayan,111
0112   ABRA - Langiden,112
0113   ABRA - Licuan-Baay (Licuan),113
0114   ABRA - Luba,114
0115   ABRA - Malibcong,115
0116   ABRA - Manabo,116
0117   ABRA - Peñarrubia,117
0118   ABRA - Pidigan,118
0119   ABRA - Pilar,119
0120   ABRA - Sallapadan,120
0121   ABRA - San Isidro,121
0122   ABRA - San Juan,122
0123   ABRA - San Quintin,123
0124   ABRA - Tayum,124
0125   ABRA - Tineg,125
0126   ABRA - Tubo,126
0127   ABRA - Villaviciosa,127
0201   AGUSAN DEL NORTE - Buenavista,201
0202   AGUSAN DEL NORTE - City of Butuan (Capital),202
0203   AGUSAN DEL NORTE - City of Cabadbaran,203
0204   AGUSAN DEL NORTE - Carmen,204
0205   AGUSAN DEL NORTE - Jabonga,205
0206   AGUSAN DEL NORTE - Kitcharao,206
0207   AGUSAN DEL NORTE - Las Nieves,207
0208   AGUSAN DEL NORTE - Magallanes,208
0209   AGUSAN DEL NORTE - Nasipit,209
0210   AGUSAN DEL NORTE - Santiago,210
0211   AGUSAN DEL NORTE - Tubay,211
0212   AGUSAN DEL NORTE - Remedios T. Romualdez,212
0301   AGUSAN DEL SUR - City of Bayugan,301
0302   AGUSAN DEL SUR - Bunawan,302
0303   AGUSAN DEL SUR - Esperanza,303
0304   AGUSAN DEL SUR - La Paz,304
0305   AGUSAN DEL SUR - Loreto,305
0306   AGUSAN DEL SUR - Prosperidad (Capital),306
0307   AGUSAN DEL SUR - Rosario,307
0308   AGUSAN DEL SUR - San Francisco,308
0309   AGUSAN DEL SUR - San Luis,309
0310   AGUSAN DEL SUR - Santa Josefa,310
0311   AGUSAN DEL SUR - Talacogon,311
0312   AGUSAN DEL SUR - Trento,312
0313   AGUSAN DEL SUR - Veruela,313
0314   AGUSAN DEL SUR - Sibagat,314
0401   AKLAN - Altavas,401
0402   AKLAN - Balete,402
0403   AKLAN - Banga,403
0404   AKLAN - Batan,404
0405   AKLAN - Buruanga,405
0406   AKLAN - Ibajay,406
0407   AKLAN - Kalibo (Capital),407
0408   AKLAN - Lezo,408
0409   AKLAN - Libacao,409
0410   AKLAN - Madalag,410
0411   AKLAN - Makato,411
0412   AKLAN - Malay,412
0413   AKLAN - Malinao,413
0414   AKLAN - Nabas,414
0415   AKLAN - New Washington,415
0416   AKLAN - Numancia,416
0417   AKLAN - Tangalan,417
0501   ALBAY - Bacacay,501
0502   ALBAY - Camalig,502
0503   ALBAY - Daraga (Locsin),503
0504   ALBAY - Guinobatan,504
0505   ALBAY - Jovellar,505
0506   ALBAY - City of Legazpi (Capital),506
0507   ALBAY - Libon,507
0508   ALBAY - City of Ligao,508
0509   ALBAY - Malilipot,509
0510   ALBAY - Malinao,510
0511   ALBAY - Manito,511
0512   ALBAY - Oas,512
0513   ALBAY - Pio Duran,513
0514   ALBAY - Polangui,514
0515   ALBAY - Rapu-Rapu,515
0516   ALBAY - Santo Domingo (Libog),516
0517   ALBAY - City of Tabaco,517
0518   ALBAY - Tiwi,518
0601   ANTIQUE - Anini-Y,601
0602   ANTIQUE - Barbaza,602
0603   ANTIQUE - Belison,603
0604   ANTIQUE - Bugasong,604
0605   ANTIQUE - Caluya,605
0606   ANTIQUE - Culasi,606
0607   ANTIQUE - Tobias Fornier (Dao),607
0608   ANTIQUE - Hamtic,608
0609   ANTIQUE - Laua-An,609
0610   ANTIQUE - Libertad,610
0611   ANTIQUE - Pandan,611
0612   ANTIQUE - Patnongon,612
0613   ANTIQUE - San Jose (Capital),613
0614   ANTIQUE - San Remigio,614
0615   ANTIQUE - Sebaste,615
0616   ANTIQUE - Sibalom,616
0617   ANTIQUE - Tibiao,617
0618   ANTIQUE - Valderrama,618
0702   BASILAN - City of Lamitan (Capital),702
0703   BASILAN - Lantawan,703
0704   BASILAN - Maluso,704
0705   BASILAN - Sumisip,705
0706   BASILAN - Tipo-Tipo,706
0707   BASILAN - Tuburan,707
0708   BASILAN - Akbar,708
0709   BASILAN - Al-Barka,709
0710   BASILAN - Hadji Mohammad Ajul,710
0711   BASILAN - Ungkaya Pukan,711
0712   BASILAN - Hadji Muhtamad,712
0713   BASILAN - Tabuan-Lasa,713
0801   BATAAN - Abucay,801
0802   BATAAN - Bagac,802
0803   BATAAN - City of Balanga (Capital),803
0804   BATAAN - Dinalupihan,804
0805   BATAAN - Hermosa,805
0806   BATAAN - Limay,806
0807   BATAAN - Mariveles,807
0808   BATAAN - Morong,808
0809   BATAAN - Orani,809
0810   BATAAN - Orion,810
0811   BATAAN - Pilar,811
0812   BATAAN - Samal,812
0901   BATANES - Basco (Capital),901
0902   BATANES - Itbayat,902
0903   BATANES - Ivana,903
0904   BATANES - Mahatao,904
0905   BATANES - Sabtang,905
0906   BATANES - Uyugan,906
1001   BATANGAS    - Agoncillo,1001
1002   BATANGAS    - Alitagtag,1002
1003   BATANGAS    - Balayan,1003
1004   BATANGAS    - Balete,1004
