Name,Geographic Level,Income Classification (DOF DO No. 074.2024),2024 Population,Name_Normalized
City of Caloocan,City,1st,1712945.0,caloocan
City of Las Piñas,City,1st,615549.0,las piñas
City of Makati,City,1st,309770.0,makati
City of Malabon,City,1st,389929.0,malabon
City of Mandaluyong,City,1st,465902.0,mandaluyong
City of Manila,City,1st,1902590.0,manila
Tondo I/II,SubMun,,637942.0,tondo i/ii
Binondo,SubMun,,23935.0,binondo
Quiapo,SubMun,,32236.0,quiapo
San Nicolas,SubMun,,46350.0,san nicolas
Santa Cruz,SubMun,,134484.0,santa cruz
Sampaloc,SubMun,,398396.0,sampaloc
San Miguel,SubMun,,23147.0,san miguel
Ermita,SubMun,,22863.0,ermita
Intramuros,SubMun,,7437.0,intramuros
Malate,SubMun,,114759.0,malate
Paco,SubMun,,85947.0,paco
Pandacan,SubMun,,90194.0,pandacan
Port Area,SubMun,,76783.0,port area
Santa Ana,SubMun,,208117.0,santa ana
City of Marikina,City,1st,471323.0,marikina
City of Muntinlupa,City,1st,552225.0,muntinlupa
City of Navotas,City,1st,252878.0,navotas
City of Parañaque,City,1st,703245.0,parañaque
Pasay City,City,1st,453186.0,pasay
City of Pasig,City,1st,853050.0,pasig
Quezon City,City,1st,3084270.0,quezon
City of San Juan,City,1st,134312.0,san juan
City of Taguig,City,1st,1308085.0,taguig
City of Valenzuela,City,1st,725173.0,valenzuela
Pateros,Mun,1st,67319.0,pateros
Bangued ,Mun,1st,48331.0,bangued
Boliney,Mun,3rd,3778.0,boliney
Bucay,Mun,3rd,17775.0,bucay
Bucloc,Mun,4th,2264.0,bucloc
Daguioman,Mun,4th,1773.0,daguioman
Danglas,Mun,3rd,4372.0,danglas
Dolores,Mun,3rd,11967.0,dolores
La Paz,Mun,4th,16014.0,la paz
Lacub,Mun,2nd,3649.0,lacub
Lagangilang,Mun,3rd,14577.0,lagangilang
Lagayan,Mun,4th,5154.0,lagayan
Langiden,Mun,4th,3457.0,langiden
Licuan-Baay,Mun,3rd,4301.0,licuan-baay
Luba,Mun,1st,6402.0,luba
Malibcong,Mun,3rd,4167.0,malibcong
Manabo,Mun,3rd,11087.0,manabo
Peñarrubia,Mun,4th,7003.0,peñarrubia
Pidigan,Mun,3rd,12058.0,pidigan
Pilar,Mun,1st,10498.0,pilar
Sallapadan,Mun,4th,6328.0,sallapadan
San Isidro,Mun,2nd,4771.0,san isidro
San Juan,Mun,4th,10777.0,san juan
San Quintin,Mun,3rd,5963.0,san quintin
Tayum,Mun,1st,14808.0,tayum
Tineg,Mun,1st,5059.0,tineg
Tubo,Mun,2nd,4941.0,tubo
Villaviciosa,Mun,1st,5674.0,villaviciosa
Atok,Mun,3rd,19346.0,atok
Bakun,Mun,3rd,15399.0,bakun
Bokod,Mun,2nd,16071.0,bokod
Buguias,Mun,1st,45703.0,buguias
Itogon,Mun,1st,59736.0,itogon
Kabayan,Mun,3rd,15841.0,kabayan
Kapangan,Mun,3rd,20048.0,kapangan
Kibungan,Mun,3rd,16884.0,kibungan
La Trinidad ,Mun,1st,142925.0,la trinidad
Mankayan,Mun,2nd*,38647.0,mankayan
Sablan,Mun,4th,12436.0,sablan
Tuba,Mun,1st,49268.0,tuba
Tublay,Mun,4th,20886.0,tublay
Banaue,Mun,3rd,20143.0,banaue
Hungduan,Mun,3rd,8970.0,hungduan
Kiangan,Mun,3rd,17849.0,kiangan
Lagawe ,Mun,3rd,19124.0,lagawe
Lamut,Mun,2nd,26520.0,lamut
Mayoyao,Mun,3rd,15525.0,mayoyao
Alfonso Lista,Mun,1st,34810.0,alfonso lista
Aguinaldo,Mun,1st,20924.0,aguinaldo
Hingyon,Mun,5th,9966.0,hingyon
Tinoc,Mun,3rd,18749.0,tinoc
Asipulo,Mun,4th,16088.0,asipulo
Balbalan,Mun,1st,13332.0,balbalan
Lubuagan,Mun,4th,8660.0,lubuagan
Pasil,Mun,4th,10690.0,pasil
Pinukpuk,Mun,1st,35033.0,pinukpuk
Rizal,Mun,3rd,20491.0,rizal
City of Tabuk ,City,1st,122771.0,tabuk
Tanudan,Mun,3rd,11103.0,tanudan
Tinglayan,Mun,3rd,13311.0,tinglayan
Barlig,Mun,4th,4363.0,barlig
Bauko,Mun,2nd,31470.0,bauko
Besao,Mun,4th,6315.0,besao
Bontoc ,Mun,1st,23466.0,bontoc
Natonin,Mun,3rd,8906.0,natonin
Paracelis,Mun,1st,30143.0,paracelis
Sabangan,Mun,4th,8556.0,sabangan
Sadanga,Mun,5th,7781.0,sadanga
Sagada,Mun,4th,10702.0,sagada
Tadian,Mun,3rd,18073.0,tadian
Calanasan,Mun,1st,12176.0,calanasan
Conner,Mun,1st,28360.0,conner
Flora,Mun,2nd,18271.0,flora
Kabugao ,Mun,1st,16425.0,kabugao
Luna,Mun,1st,21630.0,luna
Pudtol,Mun,2nd,15676.0,pudtol
Santa Marcela,Mun,4th,14049.0,santa marcela
City of Baguio,City,1st,368426.0,baguio
Adams,Mun,4th,2279.0,adams
Bacarra,Mun,2nd,32734.0,bacarra
Badoc,Mun,1st,32832.0,badoc
Bangui,Mun,2nd,15227.0,bangui
City of Batac,City,3rd,56781.0,batac
Burgos,Mun,3rd,10962.0,burgos
Carasi,Mun,5th,1775.0,carasi
Currimao,Mun,3rd,12256.0,currimao
Dingras,Mun,1st,40176.0,dingras
Dumalneg,Mun,4th,3452.0,dumalneg
Banna,Mun,1st,19363.0,banna
City of Laoag ,City,3rd,112117.0,laoag
Marcos,Mun,2nd,18105.0,marcos
Nueva Era,Mun,1st,13305.0,nueva era
Pagudpud,Mun,1st,25565.0,pagudpud
Paoay,Mun,2nd,24204.0,paoay
Pasuquin,Mun,1st,30521.0,pasuquin
Piddig,Mun,1st,22781.0,piddig
Pinili,Mun,1st,17705.0,pinili
San Nicolas,Mun,1st,39116.0,san nicolas
Sarrat,Mun,2nd,26294.0,sarrat
Solsona,Mun,2nd,26249.0,solsona
Vintar,Mun,1st,35051.0,vintar
Alilem,Mun,1st,7736.0,alilem
Banayoyo,Mun,1st,7953.0,banayoyo
Bantay,Mun,1st,37088.0,bantay
Burgos,Mun,1st,13026.0,burgos
Cabugao,Mun,1st,38981.0,cabugao
City of Candon,City,1st,61315.0,candon
Caoayan,Mun,2nd,19715.0,caoayan
Cervantes,Mun,1st,20065.0,cervantes
Galimuyod,Mun,1st,10263.0,galimuyod
Gregorio del Pilar,Mun,1st,4385.0,gregorio del pilar
Lidlidda,Mun,1st,4846.0,lidlidda
Magsingal,Mun,1st,31970.0,magsingal
Nagbukel,Mun,1st,5370.0,nagbukel
Narvacan,Mun,1st,46265.0,narvacan
Quirino,Mun,1st,9460.0,quirino
Salcedo,Mun,1st,11196.0,salcedo
San Emilio,Mun,1st,7513.0,san emilio
San Esteban,Mun,1st,8621.0,san esteban
San Ildefonso,Mun,2nd,8213.0,san ildefonso
San Juan,Mun,1st,26709.0,san juan
San Vicente,Mun,3rd,13074.0,san vicente
Santa,Mun,2nd,15164.0,santa
Santa Catalina,Mun,2nd,14319.0,santa catalina
Santa Cruz,Mun,1st,41296.0,santa cruz
Santa Lucia,Mun,1st,26200.0,santa lucia
Santa Maria,Mun,1st,30076.0,santa maria
Santiago,Mun,1st,19771.0,santiago
Santo Domingo,Mun,1st,29372.0,santo domingo
Sigay,Mun,1st,2577.0,sigay
Sinait,Mun,1st,26059.0,sinait
Sugpon,Mun,3rd,4238.0,sugpon
Suyo,Mun,1st,11051.0,suyo
Tagudin,Mun,1st,41606.0,tagudin
City of Vigan ,City,4th,54498.0,vigan
Agoo,Mun,1st,65256.0,agoo
Aringay,Mun,1st,50786.0,aringay
Bacnotan,Mun,1st,45203.0,bacnotan
Bagulin,Mun,4th,14434.0,bagulin
Balaoan,Mun,1st,40440.0,balaoan
Bangar,Mun,1st,38190.0,bangar
Bauang,Mun,1st,77670.0,bauang
Burgos,Mun,4th,9121.0,burgos
Caba,Mun,1st,23432.0,caba
Luna,Mun,2nd,38076.0,luna
Naguilian,Mun,1st,53443.0,naguilian
Pugo,Mun,3rd,19107.0,pugo
Rosario,Mun,1st,58797.0,rosario
City of San Fernando ,City,2nd,124809.0,san fernando
San Gabriel,Mun,3rd,18579.0,san gabriel
San Juan,Mun,1st,41319.0,san juan
Santo Tomas,Mun,1st,42777.0,santo tomas
Santol,Mun,1st,14877.0,santol
Sudipen,Mun,1st,16888.0,sudipen
Tubao,Mun,2nd,31868.0,tubao
Agno,Mun,2nd,29270.0,agno
Aguilar,Mun,1st,45363.0,aguilar
City of Alaminos,City,3rd,100430.0,alaminos
Alcala,Mun,1st,49479.0,alcala
Anda,Mun,2nd,42688.0,anda
Asingan,Mun,1st,58349.0,asingan
Balungao,Mun,1st,30678.0,balungao
Bani,Mun,1st,52715.0,bani
Basista,Mun,3rd,37840.0,basista
Bautista,Mun,3rd,35728.0,bautista
Bayambang,Mun,1st,129506.0,bayambang
Binalonan,Mun,1st,56560.0,binalonan
Binmaley,Mun,1st,88006.0,binmaley
Bolinao,Mun,1st,84658.0,bolinao
Bugallon,Mun,1st,76027.0,bugallon
Burgos,Mun,3rd,23240.0,burgos
Calasiao,Mun,1st,100686.0,calasiao
City of Dagupan,City,2nd,174777.0,dagupan
Dasol,Mun,2nd,31842.0,dasol
Infanta,Mun,2nd,26837.0,infanta
Labrador,Mun,3rd,26995.0,labrador
Lingayen ,Mun,1st,108510.0,lingayen
Mabini,Mun,2nd,26589.0,mabini
Malasiqui,Mun,1st,144344.0,malasiqui
Manaoag,Mun,1st,76606.0,manaoag
Mangaldan,Mun,1st,113302.0,mangaldan
Mangatarem,Mun,1st,79648.0,mangatarem
Mapandan,Mun,3rd,38228.0,mapandan
